year,to_country,song,place_final,points_final,performer
1957,Netherlands,Net Als Toen,1,31,Corry Brokken
1957,France,La Belle Amour,2,17,Paule Desjardins
1957,Denmark,Skibet Skal Sejle I Nat,3,10,Birthe Wilke & Gustav Winckler
1957,Luxembourg,Amours Mortes (Tant De Peine),4,8,Danièle Dupré
1957,Germany,"Telefon, Telefon",4,8,Margot Hielscher
1957,Italy,Corde Della Mia Chitarra,6,7,Nunzio Gallo
1957,United Kingdom,All,7,6,Patricia Bredin
1957,Belgium,Straatdeuntje,8,5,Bobbejaan Schoepen
1957,Switzerland,L'enfant Que J'étais,8,5,Lys Assia
1957,Austria,"Wohin, Kleines Pony",10,3,Bob Martin
1958,France,Dors Mon Amour,1,27,André Claveau
1958,Switzerland,Giorgio,2,24,Lys Assia
1958,Italy,Nel Blu Dipinto Di Blu,3,13,Domenico Modugno
1958,Sweden,Lilla Stjärna,4,10,Alice Babs
1958,Belgium,Ma Petite Chatte,5,8,Fud Leclerc
1958,Austria,Die Ganze Welt Braucht Liebe,5,8,Liane Augustin
1958,Germany,Für Zwei Groschen Musik,7,5,Margot Hielscher
1958,Denmark,Jeg Rev Et Blad Ud Af Min Dagbog,8,3,Raquel Rastenni
1958,Netherlands,Heel De Wereld,9,1,Corry Brokken
1958,Luxembourg,Un Grand Amour,9,1,Solange Berry
1959,Netherlands,Een Beetje,1,21,Teddy Scholten
1959,United Kingdom,Sing Little Birdie,2,16,Pearl Carr & Teddy Johnson
1959,France,"Oui, Oui, Oui, Oui",3,15,Jean Philippe
1959,Switzerland,Irgendwoher,4,14,Christa Williams
1959,Denmark,"Uh, Jeg Ville Ønske Jeg Var Dig",5,12,Birthe Wilke
1959,Italy,Piove,6,9,Domenico Modugno
1959,Belgium,Hou Toch Van Mij,6,9,Bob Benny
1959,Germany,Heut' Woll'n Wir Tanzen Geh'n,8,5,Alice and Ellen Kessler
1959,Sweden,Augustin,9,4,Brita Borg
1959,Austria,Der K. Und K. Kalypso Aus Wien,9,4,Ferry Graf
1959,Monaco,Mon Ami Pierrot,11,1,Jacques Pills
1960,France,Tom Pillibi,1,32,Jacqueline Boyer
1960,United Kingdom,"Looking High, High, High",2,25,Bryan Johnson
1960,Monaco,Ce Soir-là,3,15,François Deguelt
1960,Norway,Voi-voi,4,11,Nora Brockstedt
1960,Germany,"Bonne Nuit, Ma Chérie!",4,11,Wyn Hoop
1960,Belgium,Mon Amour Pour Toi,6,9,Fud Leclerc
1960,Austria,Du Hast Mich So Fasziniert,7,6,Harry Winter
1960,Switzerland,Cielo E Terra,8,5,Anita Traversi
1960,Italy,Romantica,8,5,Renato Rascel
1960,Sweden,Alla Andra Får Varann,10,4,Siw Malmkvist
1960,Denmark,Det Var En Yndig Tid,10,4,Katy Bødtger
1960,Netherlands,Wat Een Geluk,12,2,Rudi Carrell
1960,Luxembourg,So Laang We's Du Do Bast,13,1,Camillo Felgen
1961,Luxembourg,Nous Les Amoureux,1,31,Jean-Claude Pascal
1961,United Kingdom,Are You Sure?,2,24,The Allisons
1961,Switzerland,Nous Aurons Demain,3,16,Franca di Rienzo
1961,France,Printemps (avril Carillonne),4,13,Jean-Paul Mauric
1961,Denmark,Angelique,5,12,Dario Campeotto
1961,Italy,Al Di Là,5,12,Betty Curtis
1961,Norway,Sommer i Palma,7,10,Nora Brockstedt
1961,Yugoslavia,Neke Davne Zvezde,8,9,Ljiljana Petrović
1961,Spain,Estando Contigo,9,8,Conchita Bautista
1961,Monaco,"Allons, Allons Les Enfants",10,6,Colette Deréal
1961,Finland,Valoa Ikkunassa,10,6,Laila Kinnunen
1961,Netherlands,Wat Een Dag,10,6,Greetje Kauffeld
1961,Germany,Einmal Sehen Wir Uns Wieder,13,3,Lale Andersen
1961,Sweden,"April, April",14,2,Lill-Babs
1961,Austria,Sehnsucht,15,1,Jimmy Makulis
1961,Belgium,"September, Gouden Roos",15,1,Bob Benny
1962,France,Un Premier Amour,1,26,Isabelle Aubret
1962,Monaco,Dis Rien,2,13,François Deguelt
1962,Luxembourg,Petit Bonhomme,3,11,Camillo Felgen
1962,Yugoslavia,Ne Pali Svetlo U Sumrak,4,10,Lola Novaković
1962,United Kingdom,Ring-a-ding Girl,4,10,Ronnie Carroll
1962,Germany,Zwei Kleine Italiener,6,9,Conny Froboess
1962,Finland,Tipi-tii,7,4,Marion Rung
1962,Sweden,Sol Och Vår,7,4,Inger Berggren
1962,Italy,"Addio, Addio",9,3,Claudio Villa
1962,Denmark,Vuggevise,10,2,Ellen Winther
